"","x"
"323","POLQ"
"324","TBC1D5"
"325","TMEM132C"
"326","TNIK"
"327","ULK4"
"328","USP26"
"329","ZDBF2"
"330","ZNF470"
"331","ZNF569"
"332","ZSCAN18"
"333","ABCA13"
"334","ABCB11"
"335","ACOX2"
"336","ADAMTS12"
"337","ADAMTS18"
"338","AK9"
"339","ANK2"
"340","ANKRD12"
"341","ANKRD26"
"342","ANKRD28"
"343","ANO4"
"344","ANXA11"
"345","ARAP3"
"346","ARMC3"
"347","ASH1L"
"348","BCHE"
"349","BCO2"
"350","BPTF"
"351","BSN"
"352","C2orf44"
"353","C8B"
"354","CABYR"
"355","CACNA1C"
"356","CAMSAP2"
"357","CCDC178"
"358","CD163L1"
"359","CDH20"
"360","CDON"
"361","CELSR3"
"362","CEP290"
"363","CEP95"
"364","CEP97"
"365","CFH"
"366","CHD7"
"367","CKAP2L"
"368","CLASP2"
"369","CMYA5"
"370","COL6A1"
"371","CSNK1D"
"372","DAAM2"
"373","DCTN1"
"374","DNAH11"
"375","DNAH7"
"376","DPH2"
"377","DSCAML1"
"378","DSEL"
"379","DUOX1"
"380","DYTN"
"381","EEA1"
"382","EFCAB5"
"383","EIF2B2"
"384","EIF4G3"
"385","ESRRG"
"386","FAM149A"
"387","FAP"
"388","FAT3"
"389","FBXO34"
"390","FEZF2"
"391","FILIP1L"
"392","FNDC1"
"393","FSIP2"
"394","FZD3"
"395","GAB4"
"396","GALT"
"397","GAPVD1"
"398","GRIK3"
"399","GRIN3A"
"400","H1FNT"
"401","HEATR1"
"402","HEATR5A"
"403","IMPG2"
"404","INPP5F"
"405","IQGAP3"
"406","ITGAL"
"407","JPH3"
"408","KCNC3"
"409","KDM2B"
"410","KIF11"
"411","KLRD1"
"412","KNTC1"
"413","LAMA1"
"414","LAMB1"
"415","LCT"
"416","IGSF9B"
"417","MAB21L1"
"418","MACF1"
"419","MAP3K3"
"420","MASP2"
"421","MDGA2"
"422","MED13"
"423","MEI1"
"424","MKI67"
"425","MUC4"
"426","MYCBP2"
"427","MYOM3"
"428","NBEAL1"
"429","NCOA1"
"430","NCR2"
"431","NFAT5"
"432","NFATC3"
"433","NHS"
"434","NRAP"
"435","OR10X1"
"436","OR1D2"
"437","OR4C46"
"438","PCDHB1"
"439","PDILT"
"440","PDS5B"
"441","PEG3"
"442","PHEX"
"443","PHF20L1"
"444","PIH1D2"
"445","PLCE1"
"446","PNPLA8"
"447","PPP2R2B"
"448","PRDM15"
"449","PRDM2"
"450","PROS1"
"451","PRRC2C"
"452","PSTPIP2"
"453","PTPRN2"
"454","PZP"
"455","RALGAPB"
"456","RLTPR"
"457","RP1L1"
"458","SACS"
"459","SERPINA3"
"460","SHD"
"461","SLITRK6"
"462","SLTM"
"463","SRCAP"
"464","SRSF12"
"465","STAG1"
"466","STAG3"
"467","SYCP2L"
"468","SYNE2"
"469","SYNE3"
"470","SZT2"
"471","TAT"
"472","TBC1D15"
"473","TCERG1L"
"474","TCN2"
"475","TECPR2"
"476","TLL1"
"477","TLR3"
"478","TMEM108"
"479","TPR"
"480","TRAPPC10"
"481","TRIM23"
"482","TRIM6-TRIM34"
"483","TRRAP"
"484","TST"
"485","TTC8"
"486","UBR5"
"487","URGCP"
"488","USP18"
"489","USP28"
"490","USP38"
"491","VPS13D"
"492","WDR66"
"493","WHSC1"
"494","YLPM1"
"495","ZBTB11"
"496","ZEB1"
"497","ZEB2"
"498","ZFHX3"
"499","ZNF100"
"500","ZNF131"
"501","ZNF677"
"502","ZNF714"
"503","ZNF750"
"504","ZNF80"
"505","ZPLD1"
"506","ABCA8"
"507","ATP1B4"
"508","CACNA1E"
"509","DLL1"
"510","AGO1"
"511","FKBP7"
"512","FXR1"
"513","KIAA2018"
"514","LRRTM1"
"515","RNF123"
"516","SMARCC2"
"517","TENM2"
"518","TICRR"
"519","TRPV6"
"520","ABCC3"
"521","ADAMTS2"
"522","ATP10D"
"523","CEP128"
"524","CHST11"
"525","DNAH6"
"526","DYNC1H1"
"527","ENOX2"
"528","ENPP2"
"529","F5"
"530","BRINP2"
"531","FOXJ2"
"532","FYCO1"
"533","GOLGB1"
"534","KIAA1211L"
"535","KRT6B"
"536","NBPF1"
"537","NFE2L3"
"538","NLRP3"
"539","NLRP9"
"540","PLA1A"
"541","SGK223"
"542","SLC5A1"
"543","SPAG9"
"544","TEKT4"
"545","TTLL12"
"546","WDR65"
"547","ALG6"
"548","CCBL1"
"549","COL15A1"
"550","FBN2"
"551","FLG"
"552","HERC2"
