"","x"
"1351","EIF4G1"
"1352","ENTPD7"
"1353","EPPK1"
"1354","EXOC1"
"1355","EXOC6"
"1356","FAM13A"
"1357","FASLG"
"1358","FCRL6"
"1359","FEZ1"
"1360","FGD6"
"1361","FLNC"
"1362","GABRR1"
"1363","GALNT14"
"1364","GALNTL5"
"1365","GATAD2B"
"1366","GEMIN4"
"1367","GNPTAB"
"1368","GRID1"
"1369","GRIN2B"
"1370","HAVCR2"
"1371","HEG1"
"1372","HIRA"
"1373","HIST1H2BI"
"1374","HOXA2"
"1375","HRH2"
"1376","HSF4"
"1377","HYAL1"
"1378","HYDIN"
"1379","ITGB3"
"1380","KCNQ2"
"1381","KIAA0947"
"1382","KIAA1432"
"1383","KIF15"
"1384","KIF21A"
"1385","LAMA4"
"1386","LCP2"
"1387","LILRB4"
"1388","LLGL2"
"1389","LRFN5"
"1390","LRRC16B"
"1391","LRRC31"
"1392","MARCO"
"1393","MC5R"
"1394","MEGF10"
"1395","MICALL1"
"1396","MKRN3"
"1397","MLLT10"
"1398","MMP16"
"1399","MOV10"
"1400","MYO1G"
"1401","MYO9A"
"1402","NCAPD2"
"1403","NETO1"
"1404","NOD2"
"1405","NPHS1"
"1406","NT5C2"
"1407","OGDHL"
"1408","OR4A16"
"1409","OR5T3"
"1410","PABPC3"
"1411","PACSIN2"
"1412","PCDHA10"
"1413","PDZD2"
"1414","PLCL1"
"1415","PLEC"
"1416","POSTN"
"1417","POTEC"
"1418","PPIG"
"1419","PPM1J"
"1420","PPP1CB"
"1421","PPRC1"
"1422","PRKRIR"
"1423","PRR5L"
"1424","PTPRZ1"
"1425","RASGRP4"
"1426","RB1CC1"
"1427","RERE"
"1428","RGS22"
"1429","RNF157"
"1430","SCN4A"
"1431","SEC14L5"
"1432","SEZ6L2"
"1433","SGOL2"
"1434","SIN3A"
"1435","SLC20A1"
"1436","SLC26A8"
"1437","SLC2A3"
"1438","SLC38A2"
"1439","SLC9A4"
"1440","SLCO1C1"
"1441","SON"
"1442","SPAG17"
"1443","SPEN"
"1444","TAF4"
"1445","TECTA"
"1446","THOC1"
"1447","THSD7A"
"1448","TMEM176B"
"1449","TMEM51"
"1450","TOR1AIP2"
"1451","TRAPPC8"
"1452","TRIM17"
"1453","TSC22D2"
"1454","TSPEAR"
"1455","TTBK2"
"1456","UBA1"
"1457","UBQLN4"
"1458","UNC79"
"1459","VCPIP1"
"1460","VEPH1"
"1461","VILL"
"1462","VSIG2"
"1463","WDR62"
"1464","XAB2"
"1465","ZC3H13"
"1466","ZFC3H1"
"1467","ZNF626"
"1468","ZNF91"
"1469","ZNFX1"
"1470","ZP4"
"1471","CCDC85A"
"1472","EFEMP2"
"1473","EML2"
"1474","KCNE3"
"1475","MAP7D1"
"1476","MYT1"
"1477","NDST4"
"1478","PC"
"1479","TNNT2"
"1480","UFL1"
"1481","ANKIB1"
"1482","EHMT1"
"1483","IQSEC2"
"1484","NLRC5"
"1485","PCDHA13"
"1486","SHANK1"
"1487","SOS2"
"1488","STRN"
"1489","TPTE"
"1490","WNT10A"
"1491","ARPP21"
"1492","ATP9A"
"1493","B3GALT1"
"1494","BAZ1A"
"1495","CACNA1D"
"1496","CDK11B"
"1497","CORIN"
"1498","CTSK"
"1499","CTSO"
"1500","DLG4"
"1501","ELOVL4"
"1502","GCM2"
"1503","GPATCH2"
"1504","HECW2"
"1505","IMPG1"
"1506","INTS4"
"1507","LRRC7"
"1508","MRPS30"
"1509","OR2B2"
"1510","PHF12"
"1511","PPP1R12B"
"1512","PTPRK"
"1513","RBBP8"
"1514","REG1B"
"1515","SENP6"
"1516","SLC24A5"
"1517","SLC9B2"
"1518","SLIT2"
"1519","SMC6"
"1520","SMCHD1"
"1521","SRBD1"
"1522","TRIM42"
"1523","TRO"
"1524","UGT3A2"
"1525","VPRBP"
"1526","ZBTB18"
"1527","ZNF700"
"1528","ZNF846"
"1529","DOCK3"
"1530","EPHA10"
"1531","FRY"
"1532","GRM8"
"1533","MYO18A"
"1534","PHLDB1"
"1535","RRP1B"
"1536","SEMA3A"
"1537","SGCD"
"1538","SOGA2"
"1539","ULK1"
"1540","ZNF540"
"1541","C7"
"1542","FCRL3"
"1543","GRIA4"
"1544","PNLIP"
"1545","TLR4"
"1546","ZNF107"
"1547","ZNF217"
"1548","ZNF431"
"1549","ZNF681"
"1550","ZNF708"
"1551","DLG1"
"1552","OR2G3"
"1553","SLAMF6"
"1554","ACSM2B"
"1555","ADRBK1"
"1556","CCDC63"
"1557","CUL7"
"1558","FOXM1"
"1559","MROH2B"
"1560","IDS"
"1561","IMPDH1"
"1562","INF2"
"1563","JARID2"
"1564","LILRA3"
"1565","MAGEB1"
"1566","MAPK6"
"1567","PTPRB"
"1568","RPE65"
"1569","SETD5"
"1570","TGFBI"
"1571","ZNF804A"
"1572","CD1A"
"1573","CNBD1"
"1574","COL5A2"
"1575","PDE6C"
"1576","USP20"
"1577","CLIP1"
"1578","DBNDD2"
"1579","ENOX1"
"1580","MTMR4"
"1581","PCDHA8"
"1582","RFWD3"
"1583","TRIT1"
"1584","VPS33A"
"1585","OR13C8"
"1586","PPP2R5B"
"1587","ZNF529"
"1588","DACH2"
"1589","ZBTB17"
"1590","ZNF292"
"1591","ZNF302"
"1592","ABCB5"
"1593","GBP4"
"1594","MEGF8"
"1595","PARP2"
"1596","PCDH11X"
"1597","PPP1R15B"
"1598","PRPF40B"
"1599","SLITRK3"
"1600","TEAD2"
"1601","FPGT-TNNI3K"
"1602","ZCCHC11"
"1603","ZNF358"
"1604","AFAP1L2"
"1605","CLSTN1"
"1606","IFT80"
"1607","FKBP10"
"1608","GHR"
"1609","GPR115"
"1610","GPR39"
"1611","GPR45"
"1612","NAP1L3"
"1613","PID1"
"1614","PLXNA2"
"1615","RSPH4A"
"1616","FAM13C"
"1617","GPR133"
"1618","LNX2"
"1619","PIWIL3"
"1620","PXN"
"1621","XIRP1"
"1622","ATP2C1"
"1623","CADM1"
"1624","GRAMD1C"
"1625","KL"
"1626","NEIL3"
"1627","OR8J3"
"1628","PLB1"
"1629","PRIMA1"
"1630","RAP1GDS1"
"1631","SLC35G5"
"1632","WASF3"
"1633","ABCA9"
"1634","AOC1"
"1635","ACSS1"
"1636","ADAMTS13"
"1637","ADRBK2"
"1638","ANGPTL5"
"1639","ANKRD17"
"1640","ANLN"
"1641","AP2B1"
"1642","ARAP2"
"1643","ARHGAP32"
"1644","ARHGEF40"
"1645","ASIC3"
"1646","ATP8B3"
"1647","ATXN7"
"1648","BOC"
"1649","BPI"
"1650","CCDC181"
"1651","C1orf65"
"1652","CAPN6"
"1653","CARKD"
"1654","CCDC151"
"1655","CCDC171"
"1656","CCT3"
"1657","CDC40"
"1658","CDH4"
"1659","CLCNKA"
"1660","CLEC16A"
"1661","CLEC1B"
"1662","CNTN6"
"1663","COL24A1"
"1664","CPNE4"
"1665","CTTNBP2"
"1666","CYLD"
"1667","CYP7B1"
"1668","DHRS4L2"
"1669","DLGAP1"
"1670","DNAJC13"
"1671","DOCK9"
"1672","DPP6"
"1673","ERCC5"
"1674","ETV3L"
"1675","EXOC4"
"1676","F9"
"1677","FAM194A"
"1678","FILIP1"
"1679","FSHR"
"1680","GCDH"
"1681","GPR174"
"1682","GSE1"
"1683","GULP1"
"1684","HCFC1"
"1685","HEPHL1"
"1686","HIST1H2AK"
"1687","INTS8"
"1688","IPO4"
"1689","IRX6"
"1690","KATNB1"
"1691","KIAA1429"
"1692","KIAA1551"
"1693","KLHL12"
"1694","LINGO4"
"1695","NRROS"
"1696","MAGEB6"
"1697","MAP1S"
"1698","MLH1"
"1699","MME"
"1700","MORC1"
"1701","MYO19"
"1702","NADK"
"1703","NBEA"
"1704","NMD3"
"1705","NNT"
"1706","NPR1"
"1707","NUP153"
"1708","OR8B2"
"1709","PAPLN"
"1710","PLEKHG7"
"1711","PNPLA7"
"1712","POLA1"
"1713","QSER1"
"1714","RFX4"
"1715","RHOT1"
"1716","SCN9A"
"1717","SEMA4C"
"1718","SGK2"
"1719","SHANK2"
"1720","SHROOM3"
"1721","SLC12A7"
"1722","SNX32"
"1723","SPOCK2"
"1724","SSUH2"
"1725","TAF1"
"1726","TBPL2"
"1727","THADA"
"1728","TRAPPC9"
"1729","TREML2"
"1730","TTLL5"
"1731","TUBB4A"
"1732","VSTM1"
"1733","WDR27"
"1734","WDR64"
"1735","ZFR2"
"1736","ZNF211"
"1737","ZNF33A"
"1738","EMILIN2"
"1739","PKM"
"1740","SLC5A4"
"1741","TAF1L"
"1742","TMEM209"
"1743","ADH7"
"1744","CENPI"
"1745","LRRC8D"
"1746","NLRP12"
"1747","NRG3"
"1748","TEX35"
"1749","TTI1"
"1750","WDR91"
"1751","TBC1D32"
"1752","CEP57L1"
"1753","CLPTM1L"
"1754","NUTM2F"
"1755","MYLK"
"1756","MYO18B"
"1757","OR4N4"
"1758","PRDM10"
"1759","REV3L"
"1760","RNF128"
"1761","SIAH3"
"1762","STK3"
"1763","WDR70"
"1764","ALOXE3"
"1765","ARR3"
"1766","CDK5RAP1"
"1767","DLGAP3"
"1768","HEPH"
"1769","IRX4"
"1770","SDCCAG3"
"1771","SERPINI2"
"1772","SYNJ2"
"1773","TAS2R1"
"1774","XRCC6"
"1775","ZNF440"
"1776","AFMID"
"1777","NDUFA9"
"1778","SLC5A2"
"1779","TLK1"
"1780","ATP7B"
"1781","CLCN4"
"1782","FRMPD4"
"1783","NXPH1"
"1784","POLK"
"1785","SPPL3"
"1786","TUBA8"
"1787","AAK1"
"1788","COL16A1"
"1789","DCLK1"
"1790","DHX37"
"1791","FAM179B"
"1792","GAB3"
"1793","MAP10"
"1794","KIF18B"
"1795","MAP9"
"1796","OR4N5"
"1797","PCDHA3"
"1798","PCNX"
"1799","RTL1"
"1800","TBC1D23"
"1801","VPS72"
"1802","XKR9"
"1803","ZNF134"
"1804","AGBL4"
"1805","CHEK2"
"1806","CPT1C"
"1807","HERC1"
"1808","KBTBD8"
"1809","KCNJ12"
"1810","NCKAP5"
"1811","PCDHB10"
"1812","PJA1"
"1813","CLEC4M"
"1814","COL9A2"
"1815","CYP27A1"
"1816","EIF3H"
"1817","NUP188"
"1818","PCDH12"
"1819","RAPGEF1"
"1820","ZNF827"
"1821","CASK"
"1822","SEL1L2"
"1823","HTR2C"
"1824","ZNF550"
"1825","TNS1"
"1826","DCAF12L1"
"1827","SPATA31E1"
"1828","CNTN1"
"1829","COL20A1"
"1830","IGSF10"
"1831","SERPINA4"
"1832","ANKHD1"
"1833","CPT1B"
"1834","CXorf66"
"1835","LTF"
"1836","OR6Q1"
"1837","PALLD"
"1838","PNMA5"
"1839","AFF2"
"1840","DNAH1"
"1841","MAP2"
"1842","MCM5"
"1843","OR5AR1"
"1844","SCAF4"
"1845","TAF1C"
"1846","TMEM177"
"1847","WDR7"
"1848","CAPN9"
"1849","GPATCH2L"
"1850","PACS2"
"1851","RABEPK"
"1852","SLC6A7"
"1853","TRIM33"
"1854","MCM2"
"1855","PALM2-AKAP2"
"1856","TOX"
"1857","AMPD1"
"1858","ANKRD24"
"1859","C10orf12"
"1860","CRY1"
"1861","EXD1"
"1862","FZD6"
"1863","GPR20"
"1864","GPR37"
"1865","GRIA2"
"1866","NALCN"
"1867","NOL8"
"1868","NR2C1"
"1869","PRAMEF2"
"1870","TAF6L"
"1871","TESK2"
"1872","TRIP11"
"1873","ZNF48"
"1874","ZNF548"
"1875","ZNF555"
"1876","ANKRD50"
"1877","AKAP4"
"1878","BPIFC"
"1879","CCDC88B"
"1880","DUSP10"
"1881","GPR25"
"1882","NELL1"
"1883","OR6C2"
"1884","ST6GAL1"
"1885","SULF1"
"1886","SYT4"
"1887","ZNF629"
"1888","ABCB4"
"1889","ABHD13"
"1890","ACACA"
"1891","ADCY2"
"1892","ADCYAP1R1"
"1893","AVPR2"
"1894","BEND7"
"1895","C4BPA"
"1896","CFHR4"
"1897","CYP4A22"
"1898","FAM211A"
"1899","H1FOO"
"1900","HDAC9"
"1901","HP"
"1902","IQGAP2"
"1903","KANSL1L"
"1904","KRTAP10-2"
"1905","LMO7"
"1906","MCM6"
"1907","NFKB2"
"1908","NLGN1"
"1909","NRXN3"
"1910","OR2AK2"
"1911","PCDH20"
"1912","PIGA"
"1913","PIK3R6"
"1914","PLXND1"
"1915","PTGDR"
"1916","PTK7"
"1917","RALY"
"1918","RPGRIP1L"
"1919","RPS6KA3"
"1920","RPS6KA6"
"1921","SLIT1"
"1922","SMG5"
"1923","SNX33"
"1924","SORCS3"
"1925","SULF2"
"1926","TRIM28"
"1927","TTC18"
"1928","UGT2B11"
"1929","VCAM1"
"1930","ZMYM6"
"1931","ZNF281"
"1932","ZNF420"
"1933","ZNF780B"
"1934","CDC45"
"1935","KIF27"
"1936","JADE1"
"1937","ZNF181"
"1938","ANKS1B"
"1939","C9orf84"
"1940","DGKA"
"1941","ETV2"
"1942","GMIP"
"1943","GRM7"
"1944","HPD"
"1945","IRS1"
"1946","MCM3AP"
"1947","MED23"
"1948","MORC3"
"1949","OSMR"
"1950","PIGR"
"1951","SALL3"
"1952","SOGA3"
"1953","TAF2"
"1954","TMEM192"
"1955","TUT1"
"1956","ZNF180"
"1957","ZNF800"
"1958","ANKRD11"
"1959","C8orf34"
"1960","CNTN5"
"1961","COL4A4"
"1962","CYP1A1"
"1963","DDX53"
"1964","DPP10"
"1965","ERCC2"
"1966","FAM135B"
"1967","FAM47C"
"1968","GALNT15"
"1969","GRM5"
"1970","PCDHGA3"
"1971","PGM5"
"1972","SNRNP200"
"1973","SYNCRIP"
"1974","ZNF165"
"1975","ZNF551"
"1976","BTBD7"
"1977","ENPEP"
"1978","FAM71C"
"1979","HPRT1"
"1980","MTMR3"
"1981","NYNRIN"
"1982","PDIA4"
"1983","PHKB"
"1984","ZNF611"
"1985","ZNF813"
"1986","ADAM7"
"1987","APAF1"
"1988","CENPJ"
"1989","CFI"
"1990","CPQ"
"1991","CTC1"
"1992","HOXC8"
"1993","LRRC37B"
"1994","MARCH4"
"1995","PDE10A"
"1996","PLEKHG1"
"1997","SORL1"
"1998","TAOK2"
"1999","TBC1D8"
"2000","TNFRSF10A"
"2001","UBR2"
"2002","WSCD2"
"2003","ATP2B1"
"2004","DDX27"
"2005","DNER"
"2006","GOLGA3"
"2007","OPCML"
"2008","OR5M3"
"2009","OR6N2"
"2010","SFRP4"
"2011","SRRM4"
"2012","ABI3BP"
"2013","ALPP"
"2014","MROH9"
"2015","COG4"
"2016","CTDP1"
"2017","DCAF4L2"
"2018","ESCO1"
"2019","GNAL"
"2020","LDB2"
"2021","MLEC"
"2022","PAX8"
"2023","RFX2"
"2024","SLC16A4"
"2025","TBC1D9"
"2026","TNFRSF8"
"2027","ZNF835"
"2028","BCLAF1"
"2029","CWC22"
"2030","EIF2AK1"
"2031","EML5"
"2032","FBXL18"
"2033","GPER1"
"2034","NUBP2"
"2035","OR8K1"
"2036","PCDHGA2"
"2037","SUV39H1"
"2038","TBC1D8B"
"2039","ZC3H7B"
"2040","ZNF234"
"2041","ZNF85"
"2042","ADAM18"
"2043","ALPK3"
"2044","ALX1"
"2045","CHN1"
"2046","DGKE"
"2047","EXOC3L2"
"2048","KCNK4"
"2049","MB21D2"
"2050","TMCO4"
"2051","TOX4"
"2052","TRPC5"
"2053","WDR52"
"2054","ZBTB1"
"2055","C1orf106"
"2056","DENND3"
"2057","CTD-3074O7.11"
"2058","GABRA6"
"2059","HOXB1"
"2060","KIAA1683"
"2061","MYO7A"
"2062","NEK1"
"2063","OLFM4"
"2064","PIKFYVE"
"2065","RBL2"
"2066","SP140"
"2067","THBS1"
"2068","TRAPPC12"
"2069","UGT2A1"
"2070","FBXL2"
"2071","NEDD4L"
"2072","SUPT7L"
"2073","USP42"
"2074","APLP1"
"2075","ATXN7L1"
"2076","BIRC2"
"2077","CARD14"
"2078","CDH6"
"2079","CDH9"
"2080","DSTN"
"2081","MICU3"
"2082","EPS8L3"
"2083","FBXO9"
"2084","FMR1"
"2085","GDPD4"
"2086","HIPK2"
"2087","HIST1H1E"
"2088","IARS2"
"2089","ITPR3"
"2090","MLPH"
"2091","PLCB3"
"2092","PLEKHO1"
"2093","PTCHD4"
"2094","RHCG"
"2095","SBF2"
"2096","SENP2"
"2097","SLC14A2"
"2098","SPTBN1"
"2099","SUPV3L1"
"2100","TLN1"
"2101","EARS2"
"2102","ZMYND8"
"2103","ZNF391"
"2104","ZNF836"
"2105","CCKAR"
"2106","FAM161B"
"2107","KIAA1377"
"2108","LIG3"
"2109","MPHOSPH9"
"2110","PLCB1"
"2111","POU4F3"
"2112","STK38"
"2113","WNT5B"
"2114","ZNF839"
"2115","STOX2"
"2116","TRHDE"
"2117","ANO5"
"2118","ATP11C"
"2119","EEF1B2"
"2120","FZD2"
"2121","HACE1"
"2122","HCLS1"
"2123","HMMR"
"2124","KIAA1549L"
"2125","NKRF"
"2126","SELENBP1"
"2127","SPANXN2"
"2128","TRA2B"
"2129","TRMT2A"
"2130","VGLL1"
"2131","ARMCX2"
"2132","COL18A1"
"2133","DCDC1"
"2134","IL12RB2"
"2135","KCNN2"
"2136","LRRTM4"
"2137","MTRR"
"2138","OR52J3"
"2139","PCDHGB3"
"2140","TGS1"
"2141","XPNPEP2"
"2142","A1CF"
"2143","ARHGEF6"
"2144","BANP"
"2145","FAAH2"
"2146","FAM120B"
"2147","FBXW5"
"2148","HIST1H1B"
"2149","MAGEB16"
"2150","MIOS"
"2151","NUFIP2"
"2152","PKD2"
"2153","PRDM9"
"2154","RCOR2"
"2155","RNPEP"
"2156","SPINK4"
"2157","UBC"
"2158","UBN1"
"2159","ZNF160"
"2160","ZBTB21"
"2161","ZDHHC23"
"2162","AGAP7"
"2163","AMPH"
"2164","CAP1"
"2165","CATSPERB"
"2166","CCDC33"
"2167","CDH17"
"2168","CDHR5"
"2169","CEP164"
"2170","CHGB"
"2171","CKAP4"
"2172","CLK4"
"2173","CPSF2"
"2174","CRTAC1"
"2175","DAZL"
"2176","DHTKD1"
"2177","DSC1"
"2178","DZIP3"
"2179","ENPP1"
"2180","ENPP6"
"2181","ERAL1"
"2182","FAM111B"
"2183","FAM175A"
"2184","FAM193A"
"2185","GARNL3"
"2186","GJA10"
"2187","GTF3C4"
"2188","HERPUD2"
"2189","HGS"
"2190","HLTF"
"2191","HOOK3"
"2192","HRG"
"2193","IL16"
"2194","ITFG3"
"2195","KIAA0195"
"2196","CCDC183"
"2197","KIF19"
"2198","KIF6"
"2199","KLHDC9"
"2200","LRG1"
"2201","LRP8"
"2202","MCTP2"
"2203","MGAT5B"
"2204","MPHOSPH8"
"2205","MYF6"
"2206","MYOG"
"2207","NDNF"
"2208","NFX1"
"2209","OR51B5"
"2210","OR52A5"
"2211","OR8B8"
"2212","OTUD7B"
"2213","OXGR1"
"2214","PIK3C2A"
"2215","PLCH2"
"2216","PSG8"
"2217","PTPRO"
"2218","RGS20"
"2219","RIC8A"
"2220","SIPA1L3"
"2221","SLC17A2"
"2222","SLC22A10"
"2223","SRP72"
"2224","SSFA2"
"2225","SUN5"
"2226","SUPT5H"
"2227","SYT5"
"2228","TACR2"
"2229","TDRD5"
"2230","TELO2"
"2231","TEX13B"
"2232","TLR8"
"2233","TMCO1"
"2234","UBE2Q1"
"2235","UBE4B"
"2236","UBR1"
"2237","XRN1"
"2238","ZNF267"
"2239","ZNF510"
"2240","ZNF71"
"2241","ZNF749"
"2242","CSTF2T"
"2243","FRG1"
"2244","GLB1L3"
"2245","HPN"
"2246","IFIH1"
"2247","LIPG"
"2248","PLD1"
"2249","SOX5"
"2250","STS"
"2251","TP53BP2"
"2252","GJD2"
"2253","XPR1"
"2254","KCNG1"
"2255","KPNA5"
"2256","TBC1D10C"
"2257","TMEM132E"
"2258","ZMYM1"
"2259","CRYBA4"
"2260","HIST1H1C"
"2261","KIF2B"
"2262","UNC93A"
"2263","GAS2"
"2264","CTNND1"
"2265","DYSF"
"2266","CIITA"
"2267","CA7"
"2268","PRKG2"
"2269","VWA3B"
"2270","BTBD9"
"2271","EQTN"
"2272","GLDC"
"2273","MMRN1"
"2274","NYAP2"
"2275","OTUD4"
"2276","PPAT"
"2277","SF3B2"
"2278","SUV39H2"
"2279","ANKRD13D"
"2280","FOLR3"
"2281","MON1B"
"2282","NCR1"
"2283","ASB17"
"2284","OSBPL1A"
"2285","TNPO3"
"2286","TXNDC11"
"2287","ABCC1"
"2288","DEPDC5"
"2289","DIP2B"
"2290","HERC6"
"2291","LAMB4"
"2292","NID1"
"2293","PCDHB4"
"2294","PPFIA2"
"2295","SERAC1"
"2296","STEAP4"
"2297","VRTN"
"2298","ZNF268"
"2299","ADAM2"
"2300","ADAM32"
"2301","ETNPPL"
"2302","AIP"
"2303","AOX1"
"2304","AP1M1"
"2305","ART5"
"2306","ATP12A"
"2307","ATP13A4"
"2308","BLNK"
"2309","BRF1"
"2310","C12orf66"
"2311","C15orf52"
"2312","CASP14"
"2313","CD300A"
"2314","CHD1L"
"2315","CILP"
"2316","CIT"
"2317","CLCN6"
"2318","COL6A5"
"2319","CSPP1"
"2320","CTCF"
"2321","DCST1"
"2322","DCST2"
"2323","DDX28"
"2324","DOCK1"
"2325","DOCK2"
"2326","DPRX"
"2327","EDAR"
"2328","EI24"
"2329","ELAVL2"
"2330","ELF1"
"2331","EYA1"
"2332","F13A1"
"2333","FASTKD3"
"2334","FBXO46"
"2335","FUT8"
"2336","GBP1"
"2337","GK2"
"2338","GLYATL1"
"2339","GPR132"
"2340","GRHL1"
"2341","GRIN2A"
"2342","HDAC8"
"2343","HHIPL2"
"2344","HPSE2"
"2345","IDE"
"2346","IL1RAPL1"
"2347","IL1RL1"
"2348","INA"
"2349","KLK8"
"2350","LILRB2"
"2351","LINGO2"
"2352","LRFN2"
"2353","LRRIQ3"
"2354","LRRTM3"
"2355","LSS"
"2356","MAP4K4"
"2357","ME1"
"2358","MED22"
"2359","MEF2C"
"2360","MEFV"
"2361","MGAT5"
"2362","MICAL2"
"2363","MORC4"
"2364","MSR1"
"2365","NEK10"
"2366","NLRC4"
"2367","NME8"
"2368","NRXN1"
"2369","NXPE1"
"2370","OR10H1"
"2371","OR52E4"
"2372","OR6C75"
"2373","OR6M1"
"2374","PCDHA1"
"2375","PDZD9"
"2376","PIFO"
"2377","PLA2G7"
"2378","PLEKHA5"
"2379","POMGNT1"
"2380","PPEF2"
"2381","PRLHR"
"2382","PROKR2"
"2383","PRSS38"
"2384","RAI2"
"2385","RECQL"
"2386","RFPL2"
"2387","RGS12"
"2388","RHD"
"2389","RNF6"
"2390","RPS6KC1"
"2391","RTN4IP1"
"2392","SAMD9L"
"2393","SCG2"
"2394","SLC36A3"
"2395","SLC38A1"
"2396","SLC6A13"
"2397","SLC7A1"
"2398","SLCO5A1"
"2399","SLFN12"
"2400","SLITRK4"
"2401","SORCS2"
"2402","SYNJ1"
"2403","TAAR2"
"2404","TBX20"
"2405","TBX5"
"2406","TFEC"
"2407","TIAM2"
"2408","TJP3"
"2409","TMTC2"
"2410","TRPM2"
"2411","TYW1"
"2412","UGT2B4"
"2413","URB2"
"2414","USP25"
"2415","WDR26"
"2416","ZC3H6"
"2417","ZDHHC17"
"2418","ZHX2"
"2419","ZNF121"
"2420","ZNF229"
"2421","ZNF253"
"2422","ZNF256"
"2423","ZNF304"
"2424","ZNF449"
"2425","ZNF560"
"2426","ZNF570"
"2427","ZNF583"
"2428","ZNF608"
"2429","ZNF77"
"2430","ZNF816"
"2431","CCDC41"
"2432","CYLC2"
"2433","MEF2A"
"2434","PCNXL4"
"2435","PLOD1"
"2436","SALL1"
"2437","STAC"
"2438","OR5D13"
"2439","SLC26A4"
"2440","SMARCA1"
"2441","TRIM10"
"2442","RBMS1"
"2443","ABCC12"
"2444","ASB18"
"2445","LCMT2"
"2446","LDLR"
"2447","MAGEA6"
"2448","PDZRN3"
"2449","R3HCC1L"
"2450","SENP5"
"2451","SETBP1"
"2452","SOX3"
"2453","STXBP3"
"2454","ZNF701"
"2455","ING1"
"2456","NPC1L1"
"2457","C9"
"2458","DDIT4L"
"2459","KCNH7"
"2460","KLHL38"
"2461","ZWINT"
"2462","CA6"
"2463","GPR50"
"2464","JRKL"
"2465","LHX8"
"2466","POLD2"
"2467","HN1L"
"2468","OR5D14"
"2469","SYNDIG1"
"2470","KBTBD12"
"2471","HDX"
"2472","TTLL6"
"2473","ACADM"
"2474","AQP7"
"2475","BRICD5"
"2476","CASP5"
"2477","CCDC30"
"2478","CDH18"
"2479","CDK8"
"2480","COL4A3"
"2481","DBF4B"
"2482","DHX32"
"2483","EBF2"
"2484","EFR3A"
"2485","ELFN2"
"2486","ESYT1"
"2487","AMER3"
"2488","IFIT1B"
"2489","IKBIP"
"2490","KIF18A"
"2491","KLHL3"
"2492","KRT33A"
"2493","LSM14A"
"2494","MAEA"
"2495","MC2R"
"2496","MMAA"
"2497","NAA35"
"2498","OR5M1"
"2499","OTOF"
"2500","PAGE2B"
"2501","PCGF1"
"2502","PKMYT1"
"2503","PPP1R9A"
"2504","RPUSD2"
"2505","SATB2"
"2506","SH3TC2"
"2507","SMO"
"2508","SPDL1"
"2509","SRGN"
"2510","SULT1A1"
"2511","SYT14"
"2512","TBX3"
"2513","TECPR1"
"2514","UGGT1"
"2515","VPS11"
"2516","ZNF365"
"2517","ZNF439"
"2518","ASTN2"
"2519","NFXL1"
"2520","ZNF614"
"2521","KHDRBS3"
"2522","STARD13"
"2523","ZNF777"
"2524","C12orf50"
"2525","CASP2"
"2526","CDC14A"
"2527","GLTSCR1L"
"2528","MPP2"
"2529","RFWD2"
"2530","ARSF"
"2531","C12orf71"
"2532","C1orf87"
"2533","CCDC18"
"2534","CCDC66"
"2535","DNAJB7"
"2536","FAM91A1"
"2537","GJA9"
"2538","HSPB11"
"2539","ITGAD"
"2540","KCNK13"
"2541","MDH1"
"2542","MKRN2"
"2543","MTNR1B"
"2544","OCA2"
"2545","PCDHGA7"
"2546","PIP5K1B"
"2547","PPP1R10"
"2548","RILPL1"
"2549","RNF10"
"2550","RPAP3"
"2551","SEMA3F"
"2552","SMAD1"
"2553","SNX5"
"2554","SOCS5"
"2555","SRP68"
"2556","TATDN2"
"2557","TLR5"
"2558","UGP2"
"2559","VPS37D"
"2560","WDR93"
"2561","ZNF785"
"2562","AP1G1"
"2563","GPR75-ASB3"
"2564","BTN2A1"
"2565","CCDC147"
"2566","LPPR4"
"2567","MFI2"
"2568","PCSK2"
"2569","PPFIA3"
"2570","RNASEL"
"2571","SEMG2"
"2572","SIGLEC9"
"2573","SNX15"
"2574","TFPI2"
"2575","ZDHHC8"
"2576","ZNF878"
"2577","PPP4R1"
"2578","AP4E1"
"2579","ATF7IP2"
"2580","CAPN13"
"2581","CHRDL1"
"2582","CLTA"
"2583","COPA"
"2584","CPEB1"
"2585","DCDC2"
"2586","DDX1"
"2587","EIF3B"
"2588","EPC2"
"2589","FGD2"
"2590","FIGF"
"2591","GPR171"
"2592","GPRIN3"
"2593","GUCY1A3"
"2594","HIST2H2AC"
"2595","IK"
"2596","KATNA1"
"2597","KCNMB4"
"2598","LGR4"
"2599","LRRN2"
"2600","LY9"
"2601","MAF1"
"2602","MAN2B2"
"2603","N4BP2"
"2604","NPEPL1"
"2605","PDHA1"
"2606","PRR19"
"2607","RAP1B"
"2608","RCBTB2"
"2609","STAM"
"2610","STRAP"
"2611","SYT3"
"2612","TGM3"
"2613","TNN"
"2614","TRAK2"
"2615","USHBP1"
"2616","ZBTB44"
"2617","ZNF17"
"2618","ZNF418"
"2619","ZNF669"
"2620","ZNF7"
"2621","ZNF776"
"2622","ZSCAN4"
"2623","ESRP1"
"2624","FAM129C"
"2625","FAM155A"
"2626","FMOD"
"2627","HIST1H2BF"
"2628","IDO2"
